,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
599,18,556.3,0,branca,publica,2,2,B
600,17,533.02,1,branca,publica,4,4,F
601,18,564.82,1,branca,publica,3,4,G
602,17,458.34,0,parda,publica,3,3,G
603,17,493.54,1,branca,publica,3,2,E
604,18,565.78,0,parda,publica,3,2,F
605,18,713.82,1,branca,privada,4,4,P
606,17,650.38,1,branca,privada,2,2,F
607,18,589.28,1,branca,publica,3,3,F
608,17,613.2,1,parda,publica,2,2,E
609,17,494.1,1,parda,publica,2,2,B
610,18,431.68,1,branca,publica,4,3,H
611,17,541.44,1,branca,publica,2,4,D
612,18,436.54,1,parda,publica,3,2,D
613,17,676.54,1,branca,privada,5,5,O
614,19,508.76,1,preta,publica,3,2,C
615,18,529.24,1,branca,privada,4,4,G
616,17,571.32,1,branca,privada,4,4,K
617,18,677.6,1,branca,privada,4,4,Q
618,17,674.72,0,branca,privada,5,4,I
619,18,655.76,1,branca,privada,5,4,I
620,17,565.74,0,branca,publica,4,4,G
621,17,595.44,1,parda,publica,1,2,E
622,17,519.26,1,branca,privada,4,4,L
